"","Group","Description","District","Date","Year","Month","Day.of.Week","Hour","Street"
"1735","Other","TRESPASSING","C6","2018-09-26",2018,9,"Wednesday",21,"DEXTER ST"
"1736","Larceny","LARCENY THEFT FROM BUILDING","D14","2018-09-26",2018,9,"Wednesday",12,"COMMONWEALTH AVE"
"1737","Investigate Person","INVESTIGATE PERSON","E18","2018-09-26",2018,9,"Wednesday",19,"NEEDHAM RD"
"1738","Warrant Arrests","WARRANT ARREST","B2","2018-09-26",2018,9,"Wednesday",20,"FOREST PL"
"1739","Verbal Disputes","VERBAL DISPUTE","B2","2018-09-26",2018,9,"Wednesday",20,"DUDLEY ST"
"1740","Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","B3","2018-09-26",2018,9,"Wednesday",20,"MORTON ST"
"1741","Ballistics","BALLISTICS EVIDENCE/FOUND","B3","2018-09-26",2018,9,"Wednesday",20,"MORTON ST"
"1742","Drug Violation","DRUGS - POSSESSION OF DRUG PARAPHANALIA","A1","2018-09-26",2018,9,"Wednesday",18,"STUART ST"
"1743","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","A1","2018-09-26",2018,9,"Wednesday",21,"AVENUE DE LAFAYETTE"
"1744","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E13","2018-09-26",2018,9,"Wednesday",20,"WALNUT PARK"
"1745","Simple Assault","ASSAULT SIMPLE - BATTERY","D14","2018-09-25",2018,9,"Tuesday",19,"N BEACON ST"
"1746","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2018-09-26",2018,9,"Wednesday",20,"WASHINGTON ST"
"1747","Towed","TOWED MOTOR VEHICLE","B2","2018-09-26",2018,9,"Wednesday",9,"HUNTINGTON AVE"
"1748","Larceny","LARCENY SHOPLIFTING","E18","2018-09-26",2018,9,"Wednesday",19,"RIVER ST"
"1749","Simple Assault","ASSAULT SIMPLE - BATTERY","E18","2018-09-26",2018,9,"Wednesday",19,"RIVER ST"
"1750","Missing Person Reported","MISSING PERSON","D4","2018-09-26",2018,9,"Wednesday",18,"TROTTER CT"
"1751","Investigate Person","INVESTIGATE PERSON","E18","2018-09-26",2018,9,"Wednesday",19,"HYDE PARK AVE"
"1752","Towed","TOWED MOTOR VEHICLE","C11","2018-09-25",2018,9,"Tuesday",20,"ROMSEY ST"
"1753","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","E13","2018-09-26",2018,9,"Wednesday",19,"SAINT ROSE ST"
"1754","Robbery","ROBBERY - STREET","A7","2018-09-26",2018,9,"Wednesday",17,"CHELSEA ST"
"1755","Recovered Stolen Property","STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING","A7","2018-09-26",2018,9,"Wednesday",17,"CHELSEA ST"
"1756","Other","THREATS TO DO BODILY HARM","B3","2018-09-23",2018,9,"Sunday",20,"WOODROW AVE"
"1757","Robbery","ROBBERY - STREET","D4","2018-09-26",2018,9,"Wednesday",19,"HEMENWAY ST"
"1758","Investigate Person","INVESTIGATE PERSON","E5","2018-09-26",2018,9,"Wednesday",18,"CHERITON RD"
"1759","Drug Violation","DRUGS - POSS CLASS E","E18","2018-09-26",2018,9,"Wednesday",20,"HYDE PARK AVE"
"1760","Drug Violation","DRUGS - POSS CLASS C","E18","2018-09-26",2018,9,"Wednesday",20,"HYDE PARK AVE"
"1761","Other","TRESPASSING","A1","2018-09-26",2018,9,"Wednesday",19,"TREMONT ST"
"1762","Missing Person Located","MISSING PERSON - LOCATED","E18","2018-09-26",2018,9,"Wednesday",0,"THOMPSON ST"
"1763","Property Lost","PROPERTY - MISSING","C11","2018-09-23",2018,9,"Sunday",0,"MEDWAY ST"
"1764","Verbal Disputes","VERBAL DISPUTE","B3","2018-09-26",2018,9,"Wednesday",17,"DEERING RD"
"1765","Drug Violation","DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP","D14","2018-09-26",2018,9,"Wednesday",19,"FIDELIS WAY"
"1766","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","D14","2018-09-26",2018,9,"Wednesday",19,"FIDELIS WAY"
"1767","Police Service Incidents","SERVICE TO OTHER PD INSIDE OF MA.","D14","2018-09-26",2018,9,"Wednesday",19,"FIDELIS WAY"
"1768","Larceny","LARCENY ALL OTHERS","D4","2018-09-26",2018,9,"Wednesday",17,"BOYLSTON ST"
"1769","Simple Assault","ASSAULT SIMPLE - BATTERY","E13","2018-09-26",2018,9,"Wednesday",18,"PARKER ST"
"1770","Investigate Person","INVESTIGATE PERSON","D14","2018-09-26",2018,9,"Wednesday",18,"WASHINGTON ST"
"1771","Investigate Person","INVESTIGATE PERSON","B2","2018-09-26",2018,9,"Wednesday",17,"LONGWOOD AVE"
"1772","Investigate Property","INVESTIGATE PROPERTY","E18","2018-09-26",2018,9,"Wednesday",0,"HYDE PARK AVE"
"1773","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A1","2018-09-26",2018,9,"Wednesday",18,"CONGRESS ST"
"1774","Robbery","ROBBERY - STREET","A7","2018-09-26",2018,9,"Wednesday",17,"E EAGLE ST"
"1775","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B2","2018-09-23",2018,9,"Sunday",18,"BLUE HILL AVE"
"1776","Harassment","HARASSMENT","B3","2018-09-26",2018,9,"Wednesday",17,"FAVRE ST"
"1777","Simple Assault","ASSAULT SIMPLE - BATTERY","D4","2018-09-24",2018,9,"Monday",19,"NEWBURY ST"
"1778","Vandalism","VANDALISM","C11","2018-09-26",2018,9,"Wednesday",18,"SAXTON ST"
"1779","Property Lost","PROPERTY - LOST","A1","2018-09-26",2018,9,"Wednesday",16,"WASHINGTON ST"
"1780","Investigate Person","INVESTIGATE PERSON","E18","2018-09-26",2018,9,"Wednesday",18,"HYDE PARK AVE"
"1781","Fraud","FRAUD - IMPERSONATION","A1","2018-09-26",2018,9,"Wednesday",16,"STATE ST"
"1782","Property Lost","PROPERTY - LOST","A7","2018-09-12",2018,9,"Wednesday",15,"HARBORSIDE DR"
"1783","Other","THREATS TO DO BODILY HARM","C11","2018-09-26",2018,9,"Wednesday",18,"RICHFIELD ST"
"1784","Investigate Property","INVESTIGATE PROPERTY","E13","2018-09-26",2018,9,"Wednesday",18,"WASHINGTON ST"
"1785","Missing Person Reported","MISSING PERSON","A1","2018-09-25",2018,9,"Tuesday",18,"WASHINGTON ST"
"1786","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","E18","2018-09-26",2018,9,"Wednesday",18,"RIVER ST"
"1787","Larceny","LARCENY SHOPLIFTING","A1","2018-09-26",2018,9,"Wednesday",17,"FANEUIL HALL MARKETPLACE"
"1788","Vandalism","VANDALISM","C6","2018-09-24",2018,9,"Monday",20,"E FIRST ST"
"1789","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A15","2018-09-26",2018,9,"Wednesday",11,"TERMINAL ST"
"1790","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","E18","2018-09-26",2018,9,"Wednesday",18,"CHESTERFIELD ST"
"1791","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C11","2018-09-26",2018,9,"Wednesday",17,"DORCHESTER AVE"
"1792","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A1","2018-09-26",2018,9,"Wednesday",7,"STUART ST"
"1793","Verbal Disputes","VERBAL DISPUTE","C11","2018-09-26",2018,9,"Wednesday",15,"BAKERSFIELD ST"
"1794","Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","C6","2018-09-03",2018,9,"Monday",19,"GENERAL LAWRENCE J LOGAN "
"1795","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W ARREST","E5","2018-09-26",2018,9,"Wednesday",17,"WASHINGTON ST"
"1796","Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2","2018-09-26",2018,9,"Wednesday",16,"PARKER ST"
"1797","Other","TRESPASSING","B2","2018-09-26",2018,9,"Wednesday",15,"MALCOLM X BLVD"
"1798","Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2","2018-09-26",2018,9,"Wednesday",15,"MALCOLM X BLVD"
"1799","Towed","TOWED MOTOR VEHICLE","B2","2018-09-26",2018,9,"Wednesday",17,"BLUE HILL AVE"
"1800","Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","B2","2018-09-26",2018,9,"Wednesday",17,"BLUE HILL AVE"
"1801","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","D14","2018-09-26",2018,9,"Wednesday",17,"MARKET ST"
"1802","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","C11","2018-09-22",2018,9,"Saturday",18,"VICTORY RD"
"1803","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C11","2018-09-22",2018,9,"Saturday",18,"VICTORY RD"
"1804","Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","E5","2018-09-26",2018,9,"Wednesday",17,"CENTRE ST"
"1805","Verbal Disputes","VERBAL DISPUTE","B3","2018-09-26",2018,9,"Wednesday",16,"FOTTLER RD"
"1806","Harassment","HARASSMENT","A1","2018-09-26",2018,9,"Wednesday",13,"GROVE ST"
"1807","Investigate Person","INVESTIGATE PERSON","A7","2018-09-26",2018,9,"Wednesday",17,"VALLAR RD"
"1808","Investigate Property","INVESTIGATE PROPERTY","B3","2018-09-26",2018,9,"Wednesday",16,"GLENWAY ST"
"1809","Other","TRESPASSING","A7","2018-09-26",2018,9,"Wednesday",12,"CONDOR ST"
"1810","Property Found","PROPERTY - FOUND","A7","2018-09-26",2018,9,"Wednesday",12,"CONDOR ST"
"1811","Missing Person Reported","MISSING PERSON","C11","2018-09-26",2018,9,"Wednesday",16,"PARK ST"
"1812","Vandalism","VANDALISM","C11","2018-09-26",2018,9,"Wednesday",16,"WASHINGTON ST"
"1813","Investigate Person","INVESTIGATE PERSON","B2","2018-09-26",2018,9,"Wednesday",16,"WASHINGTON ST"
"1814","Other","THREATS TO DO BODILY HARM","E18","2018-09-14",2018,9,"Friday",17,"POPLAR ST"
"1815","Property Found","PROPERTY - FOUND","B2","2018-09-26",2018,9,"Wednesday",16,"WAUMBECK ST"
"1816","Larceny","LARCENY SHOPLIFTING","D4","2018-09-26",2018,9,"Wednesday",15,"HUNTINGTON AVE"
"1817","Larceny","LARCENY SHOPLIFTING","D4","2018-09-26",2018,9,"Wednesday",15,"BOYLSTON ST"
"1818","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","A1","2018-09-26",2018,9,"Wednesday",16,"BEACON ST"
"1819","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","B2","2018-09-25",2018,9,"Tuesday",17,"SHAWMUT AVE"
"1820","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B2","2018-09-25",2018,9,"Tuesday",17,"SHAWMUT AVE"
"1821","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2018-09-26",2018,9,"Wednesday",16,"CASTLEGATE RD"
"1822","Larceny","LARCENY SHOPLIFTING","D4","2018-09-26",2018,9,"Wednesday",15,"BOYLSTON ST"
"1823","Missing Person Reported","MISSING PERSON","D4","2018-09-26",2018,9,"Wednesday",13,"PETERBOROUGH ST"
"1824","Investigate Property","INVESTIGATE PROPERTY","A1","2018-09-26",2018,9,"Wednesday",16,"LEGENDS WAY"
"1825","Investigate Person","INVESTIGATE PERSON","B2","2018-02-27",2018,2,"Tuesday",14,"WALNUT AVE"
"1826","Harassment","HARASSMENT","B2","2018-08-29",2018,8,"Wednesday",14,"WARREN ST"
"1827","Other","OTHER OFFENSE","E5","2018-09-26",2018,9,"Wednesday",15,"WASHINGTON ST"
"1828","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","D4","2018-09-05",2018,9,"Wednesday",0,"E BROOKLINE ST"
"1829","Larceny","LARCENY THEFT FROM BUILDING","D14","2018-09-25",2018,9,"Tuesday",20,"WASHINGTON ST"
"1830","Other","DANGEROUS OR HAZARDOUS CONDITION","A7","2018-09-26",2018,9,"Wednesday",12,"CHELSEA ST"
"1831","License Plate Related Incidents","M/V PLATES - LOST","B3","2018-09-26",2018,9,"Wednesday",8,"DUNBAR AVE"
"1832","Drug Violation","DRUGS - SICK ASSIST - OTHER NARCOTIC","D4","2018-09-26",2018,9,"Wednesday",15,"MASSACHUSETTS AVE"
"1833","Motor Vehicle Accident Response","M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY","D4","2018-09-21",2018,9,"Friday",14,"ALBANY ST"
"1834","Simple Assault","ASSAULT SIMPLE - BATTERY","B2","2018-09-26",2018,9,"Wednesday",14,"HOLLANDER ST"
"1835","Violations","VAL - OPERATING W/O AUTHORIZATION LAWFUL","B2","2018-09-15",2018,9,"Saturday",15,"COLUMBUS AVE"
"1836","Investigate Property","INVESTIGATE PROPERTY","C11","2018-09-26",2018,9,"Wednesday",6,"WELLES AVE"
"1837","Investigate Person","INVESTIGATE PERSON","B3","2018-09-26",2018,9,"Wednesday",13,"SCHOOL ST"
"1838","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","E18","2018-09-26",2018,9,"Wednesday",15,"WILLIAMS AVE"
"1839","Verbal Disputes","VERBAL DISPUTE","C11","2018-09-26",2018,9,"Wednesday",14,"DORCHESTER AVE"
"1840","Verbal Disputes","VERBAL DISPUTE","B2","2018-09-26",2018,9,"Wednesday",14,"BLUE HILL AVE"
"1841","Other","THREATS TO DO BODILY HARM","A1","2018-09-06",2018,9,"Thursday",15,"FRUIT ST"
"1842","Property Lost","PROPERTY - LOST","D14","2018-09-23",2018,9,"Sunday",15,"MAPLETON ST"
"1843","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2018-09-26",2018,9,"Wednesday",14,"DUDLEY ST"
"1844","Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","B3","2018-09-26",2018,9,"Wednesday",15,"BLUE HILL AVE"
"1845","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E18","2018-09-26",2018,9,"Wednesday",13,"HILLIS RD"
"1846","Investigate Person","INVESTIGATE PERSON","E18","2018-09-26",2018,9,"Wednesday",13,"HILLIS RD"
"1847","Investigate Person","INVESTIGATE PERSON","C11","2018-09-26",2018,9,"Wednesday",14,"WASHINGTON ST"
"1848","Property Found","PROPERTY - FOUND","E13","2018-09-26",2018,9,"Wednesday",14,"GLEN RD"
"1849","Medical Assistance","ANIMAL CONTROL - DOG BITES - ETC.","A15","2018-09-26",2018,9,"Wednesday",7,"EIGHTH ST"
"1850","Investigate Property","INVESTIGATE PROPERTY","C6","2018-09-26",2018,9,"Wednesday",14,"E NINTH ST"
"1851","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","E18","2018-09-26",2018,9,"Wednesday",14,"HOLLINGSWORTH ST"
"1852","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","E13","2018-09-25",2018,9,"Tuesday",14,"PRINCE ST"
"1853","Investigate Person","INVESTIGATE PERSON","B3","2018-09-26",2018,9,"Wednesday",13,"BLUE HILL AVE"
"1854","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","B3","2018-09-25",2018,9,"Tuesday",22,"MILLET ST"
"1855","Drug Violation","DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP","D4","2018-09-26",2018,9,"Wednesday",14,"MASSACHUSETTS AVE"
"1856","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","D4","2018-09-26",2018,9,"Wednesday",14,"MASSACHUSETTS AVE"
"1857","Larceny","LARCENY SHOPLIFTING","D4","2018-09-23",2018,9,"Sunday",17,"NEWBURY ST"
"1858","Harassment","HARASSMENT","D4","2018-09-24",2018,9,"Monday",0,"E BROOKLINE ST"
"1859","Investigate Property","INVESTIGATE PROPERTY","D14","2018-09-26",2018,9,"Wednesday",14,"WARREN ST"
"1860","Property Lost","PROPERTY - LOST","D14","2018-09-25",2018,9,"Tuesday",21,"KENRICK ST"
"1861","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A1","2018-09-26",2018,9,"Wednesday",13,"BEACON ST"
"1862","Investigate Person","INVESTIGATE PERSON","C11","2018-09-22",2018,9,"Saturday",9,"IOWA ST"
"1863","Property Lost","PROPERTY - LOST","D4","2018-09-26",2018,9,"Wednesday",10,"WASHINGTON ST"
"1864","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","B2","2018-09-26",2018,9,"Wednesday",13,"SEAVER ST"
"1865","Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","C6","2018-09-26",2018,9,"Wednesday",12,"ATKINSON ST"
"1866","Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","C6","2018-09-26",2018,9,"Wednesday",12,"ATKINSON ST"
"1867","Drug Violation","DRUGS - POSS CLASS E","C6","2018-09-26",2018,9,"Wednesday",12,"ATKINSON ST"
"1868","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","C6","2018-09-26",2018,9,"Wednesday",12,"ATKINSON ST"
"1869","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W ARREST","C11","2018-09-26",2018,9,"Wednesday",13,"HARBOR VIEW ST"
"1870","Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","B2","2018-09-26",2018,9,"Wednesday",13,"DUDLEY ST"
"1871","Property Lost","PROPERTY - LOST","C11","2018-09-26",2018,9,"Wednesday",13,"GIBSON ST"
"1872","Violations","VAL - OPERATING W/O AUTHORIZATION LAWFUL","C6","2018-09-17",2018,9,"Monday",15,"COLUMBIA RD"
"1873","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","A1","2018-09-26",2018,9,"Wednesday",11,"BLOSSOM ST"
"1874","Verbal Disputes","VERBAL DISPUTE","B2","2018-09-26",2018,9,"Wednesday",13,"DRAYTON AVE"
"1875","Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","D4","2018-09-22",2018,9,"Saturday",10,"MASSACHUSETTS AVE"
"1876","Larceny","LARCENY THEFT FROM BUILDING","D4","2018-09-22",2018,9,"Saturday",10,"MASSACHUSETTS AVE"
"1877","Investigate Property","INVESTIGATE PROPERTY","A1","2018-09-26",2018,9,"Wednesday",12,"STATE ST"
"1878","Drug Violation","DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP","D4","2018-09-26",2018,9,"Wednesday",13,"MASSACHUSETTS AVE"
"1879","Drug Violation","DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS","D4","2018-09-26",2018,9,"Wednesday",13,"MASSACHUSETTS AVE"
"1880","Property Lost","PROPERTY - LOST","A7","2018-09-19",2018,9,"Wednesday",12,"FALCON ST"
"1881","Property Lost","PROPERTY - LOST","A7","2018-08-01",2018,8,"Wednesday",13,"COTTAGE ST"
"1882","Verbal Disputes","VERBAL DISPUTE","D4","2018-09-26",2018,9,"Wednesday",12,"HARRISON AVE"
"1883","Larceny","LARCENY ALL OTHERS","A7","2018-07-16",2018,7,"Monday",1,"ORIENT AVE"
"1884","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C11","2018-09-25",2018,9,"Tuesday",23,"RAVEN ST"
"1885","Other","DANGEROUS OR HAZARDOUS CONDITION","D14","2018-09-26",2018,9,"Wednesday",11,"MONTFERN AVE"
"1886","Auto Theft Recovery","RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON)","A7","2018-09-26",2018,9,"Wednesday",11,"BORDER ST"
"1887","Vandalism","VANDALISM","E18","2018-09-26",2018,9,"Wednesday",6,"HYDE PARK AVE"
"1888","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","D4","2018-09-26",2018,9,"Wednesday",12,"BEACON ST"
"1889","Larceny","LARCENY THEFT FROM BUILDING","D14","2018-09-16",2018,9,"Sunday",14,"PARK VALE AVE"
"1890","Residential Burglary","BURGLARY - RESIDENTIAL - ATTEMPT","C11","2018-09-26",2018,9,"Wednesday",9,"HAMILTON ST"
"1891","Larceny","LARCENY THEFT FROM BUILDING","B2","2018-09-26",2018,9,"Wednesday",13,"TOWNSEND ST"
"1892","Larceny","LARCENY THEFT FROM BUILDING","D14","2018-09-25",2018,9,"Tuesday",14,"COMMONWEALTH AVE"
"1893","Simple Assault","ASSAULT SIMPLE - BATTERY","C6","2018-09-26",2018,9,"Wednesday",12,"SOUTHAMPTON ST"
"1894","Larceny","LARCENY SHOPLIFTING","D4","2018-09-23",2018,9,"Sunday",17,"HUNTINGTON AVE"
"1895","Other","TRESPASSING","B3","2018-09-24",2018,9,"Monday",17,"PEACEVALE RD"
"1896","Simple Assault","ASSAULT SIMPLE - BATTERY","D4","2018-09-26",2018,9,"Wednesday",11,"WARREN AVE"
"1897","Other","THREATS TO DO BODILY HARM","D4","2018-09-26",2018,9,"Wednesday",11,"WARREN AVE"
"1898","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","C11","2018-09-26",2018,9,"Wednesday",11,"NEPONSET AVE"
"1899","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","B3","2018-09-26",2018,9,"Wednesday",11,"WILMINGTON AVE"
"1900","Investigate Person","INVESTIGATE PERSON","A1","2018-09-25",2018,9,"Tuesday",12,"OLIVER ST"
"1901","Aggravated Assault","ASSAULT - AGGRAVATED","B3","2018-09-26",2018,9,"Wednesday",11,"TALBOT AVE"
"1902","Towed","TOWED MOTOR VEHICLE","E13","2018-09-26",2018,9,"Wednesday",7,"BARDWELL ST"
"1903","Vandalism","VANDALISM","B2","2018-09-26",2018,9,"Wednesday",11,"DEWEY ST"
"1904","Investigate Property","INVESTIGATE PROPERTY","D4","2018-09-26",2018,9,"Wednesday",11,"SHAWMUT AVE"
"1905","Investigate Person","INVESTIGATE PERSON","C11","2018-09-26",2018,9,"Wednesday",11,"WASHINGTON ST"
"1906","Investigate Person","INVESTIGATE PERSON","E18","2018-09-26",2018,9,"Wednesday",9,"FRIENDSHIP RD"
"1907","Auto Theft","AUTO THEFT","D4","2018-09-25",2018,9,"Tuesday",17,"PETERBOROUGH ST"
"1908","Vandalism","VANDALISM","B2","2018-09-26",2018,9,"Wednesday",8,"PRENTISS ST"
"1909","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","D4","2018-08-19",2018,8,"Sunday",17,"BOYLSTON ST"
"1910","Property Lost","PROPERTY - LOST","D4","2018-08-19",2018,8,"Sunday",17,"BOYLSTON ST"
"1911","Property Lost","PROPERTY - LOST","C11","2018-09-23",2018,9,"Sunday",14,"BOWDOIN ST"
"1912","Larceny","LARCENY ALL OTHERS","A7","2018-09-26",2018,9,"Wednesday",9,"BREMEN ST"
"1913","Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","A7","2018-09-26",2018,9,"Wednesday",9,"BREMEN ST"
"1914","Vandalism","VANDALISM","A7","2018-09-26",2018,9,"Wednesday",9,"BREMEN ST"
"1915","Violations","VAL - OPERATING AFTER REV/SUSP.","B2","2018-09-26",2018,9,"Wednesday",10,"WARREN ST"
"1916","Fraud","FRAUD - IMPERSONATION","B3","2018-09-26",2018,9,"Wednesday",11,"WESTVIEW ST"
"1917","Investigate Person","INVESTIGATE PERSON","B3","2018-09-26",2018,9,"Wednesday",11,"BAIRD ST"
"1918","Larceny","LARCENY THEFT FROM BUILDING","D4","2018-09-26",2018,9,"Wednesday",8,"HUNTINGTON AVE"
"1919","Harassment","HARASSMENT","B2","2018-09-26",2018,9,"Wednesday",8,"DEVON ST"
"1920","Larceny","LARCENY SHOPLIFTING","D4","2018-09-26",2018,9,"Wednesday",10,"BOYLSTON ST"
"1921","Larceny","LARCENY SHOPLIFTING","D4","2018-09-26",2018,9,"Wednesday",10,"BOYLSTON ST"
"1922","Larceny","LARCENY SHOPLIFTING","C11","2018-09-26",2018,9,"Wednesday",9,"BOWDOIN ST"
"1923","Property Lost","PROPERTY - LOST","A1","2018-09-26",2018,9,"Wednesday",10,"PARK PLZ"
"1924","Towed","TOWED MOTOR VEHICLE","C6","2018-09-26",2018,9,"Wednesday",11,"W EIGHTH ST"
"1925","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","C11","2018-09-26",2018,9,"Wednesday",9,"DRACUT ST"
"1926","Simple Assault","ASSAULT - SIMPLE","D4","2018-09-26",2018,9,"Wednesday",9,"E NEWTON ST"
"1927","Drug Violation","DRUGS - POSS CLASS E","D4","2018-09-26",2018,9,"Wednesday",9,"E NEWTON ST"
"1928","Larceny","LARCENY ALL OTHERS","C11","2018-09-22",2018,9,"Saturday",17,"ASHMONT ST"
"1929","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B3","2018-09-26",2018,9,"Wednesday",9,"KINGBIRD RD"
"1930","Property Found","PROPERTY - FOUND","E18","2018-09-21",2018,9,"Friday",20,"ROCKINGHAM RD"
"1931","Violations","VAL - OPERATING AFTER REV/SUSP.","B3","2018-09-26",2018,9,"Wednesday",10,"W SELDEN ST"
"1932","Vandalism","VANDALISM","C11","2018-09-25",2018,9,"Tuesday",18,"MANLEY ST"
"1933","Police Service Incidents","SERVICE TO OTHER PD INSIDE OF MA.","C11","2018-09-26",2018,9,"Wednesday",10,"BELLEVUE ST"
"1934","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","E18","2018-09-23",2018,9,"Sunday",16,"AMERICAN LEGION HWY"
"1935","Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","D4","2018-09-26",2018,9,"Wednesday",7,"HARRISON AVE"
"1936","Property Lost","PROPERTY - LOST","B2","2018-09-12",2018,9,"Wednesday",14,"BROOKLINE AVE"
"1937","Towed","TOWED MOTOR VEHICLE","D14","2018-09-26",2018,9,"Wednesday",8,"MONTFERN AVE"
"1938","Simple Assault","ASSAULT SIMPLE - BATTERY","D4","2018-09-26",2018,9,"Wednesday",9,"MASSACHUSETTS AVE"
"1939","Vandalism","VANDALISM","E18","2018-09-25",2018,9,"Tuesday",22,"MATTAKEESET ST"
"1940","Investigate Person","INVESTIGATE PERSON","C11","2018-09-26",2018,9,"Wednesday",10,"HANCOCK ST"
"1941","Investigate Person","INVESTIGATE PERSON","A1","2018-09-24",2018,9,"Monday",16,"TREMONT ST"
"1942","Robbery","ROBBERY - STREET","A1","2018-09-26",2018,9,"Wednesday",9,"CAMBRIDGE ST"
"1943","Towed","TOWED MOTOR VEHICLE","A15","2018-09-26",2018,9,"Wednesday",8,"SULLIVAN ST"
"1944","Police Service Incidents","SERVICE TO OTHER PD INSIDE OF MA.","B3","2018-09-26",2018,9,"Wednesday",9,"AMES ST"
"1945","Embezzlement","EMBEZZLEMENT","D4","2018-05-06",2018,5,"Sunday",9,"TREMONT ST"
"1946","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C11","2018-09-26",2018,9,"Wednesday",6,"WASHINGTON ST"
"1947","Larceny","LARCENY ALL OTHERS","E18","2018-09-25",2018,9,"Tuesday",16,"WINSLOW ST"
"1948","Towed","TOWED MOTOR VEHICLE","C11","2018-09-26",2018,9,"Wednesday",8,"CENTRE ST"
"1949","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C6","2018-09-25",2018,9,"Tuesday",9,"F ST"
"1950","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A7","2018-09-25",2018,9,"Tuesday",18,"MERIDIAN ST"
"1951","Investigate Person","INVESTIGATE PERSON","B3","2018-09-26",2018,9,"Wednesday",9,"W SELDEN ST"
